#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,	roadId, originId, infoComment, absTime, xWithOffset[m]
     55.00,    1,       98.9,    25.0909,    0.06155,     116.84,  13.299866,  IDM,           23,        4,        4, , 1970-01-01T00:00:55Z,    98.8989
     56.00,    1,      123.9,    24.9448,   -0.29082,     103.61,  13.105202,  IDM,           23,        4,        4, , 1970-01-01T00:00:56Z,   123.9450
     57.00,    1,      148.7,    24.5181,   -0.52732,      90.73,  12.620519,  IDM,           23,        4,        4, , 1970-01-01T00:00:57Z,   148.6956
     58.00,    1,      172.9,    23.8827,   -0.72079,      78.44,  11.924121,  IDM,           23,        4,        4, , 1970-01-01T00:00:58Z,   172.9118
     58.00,    1,      107.3,    15.8084,    4.78484,      59.65,  -8.074302,  IDM,           27,        4,        4, , 1970-01-01T00:00:58Z,   107.2628
     59.00,    1,      193.8,    16.6425,   -7.90486,      17.26,   3.224751,  IDM,           23,        4,        4, , 1970-01-01T00:00:59Z,   193.7853
     59.00,    1,      125.3,    20.1288,    3.49729,      62.44,   3.486274,  IDM,           27,        4,        4, , 1970-01-01T00:00:59Z,   125.3444
     60.00,    1,      146.7,    22.1312,    0.91140,      56.07,   8.012721,  IDM,           27,        4,        4, , 1970-01-01T00:01:00Z,   146.6839
     61.00,    1,      168.9,    22.0773,   -0.68113,      47.69,   8.405198,  IDM,           27,        4,        4, , 1970-01-01T00:01:01Z,   168.9150
     62.00,    1,      190.5,    20.9732,   -1.33999,      39.71,   7.434741,  IDM,           27,        4,        4, , 1970-01-01T00:01:02Z,   190.4910
     65.00,    1,        2.9,    14.8485,    4.83099,     238.17,  -2.021060,  IDM,           30,        4,        4, , 1970-01-01T00:01:05Z,     2.8730
     66.00,    1,       20.1,    19.4337,    4.32224,     188.15,   7.302168,  IDM,           30,        4,        4, , 1970-01-01T00:01:06Z,    20.0604
     67.00,    1,       41.5,    23.3184,    3.47064,     178.82,  11.220748,  IDM,           30,        4,        4, , 1970-01-01T00:01:07Z,    41.5084
     68.00,    1,       66.4,    26.1822,    2.34525,     166.07,  14.089409,  IDM,           30,        4,        4, , 1970-01-01T00:01:08Z,    66.3526
     69.00,    1,       93.5,    27.8988,    1.22383,     151.03,  15.790846,  IDM,           30,        4,        4, , 1970-01-01T00:01:09Z,    93.4853
     70.00,    1,      121.8,    28.6048,    0.32272,     134.83,  16.468709,  IDM,           30,        4,        4, , 1970-01-01T00:01:10Z,   121.8104
     71.00,    1,      149.3,    25.8928,   -2.78040,      62.49,  12.393646,  IDM,           30,        4,        4, , 1970-01-01T00:01:11Z,   149.2606
     72.00,    1,      173.9,    23.5974,   -2.03145,      51.29,  10.113943,  IDM,           30,        4,        4, , 1970-01-01T00:01:12Z,   173.9491
     72.00,    1,      101.3,    13.8800,    0.00000,      66.63,  -9.717385,  IDM,           34,        4,        4, , 1970-01-01T00:01:12Z,   101.3240
     73.00,    1,      196.6,    21.7230,   -1.77794,      42.13,   8.254332,  IDM,           30,        4,        4, , 1970-01-01T00:01:13Z,   196.5897
     73.00,    1,      117.5,    18.4410,    4.26459,      73.06,  -3.282031,  IDM,           34,        4,        4, , 1970-01-01T00:01:13Z,   117.5306
     74.00,    1,      137.9,    22.0485,    2.96032,      73.57,   2.014727,  IDM,           34,        4,        4, , 1970-01-01T00:01:14Z,   137.8865
     75.00,    1,      161.1,    24.0754,    1.26431,      69.62,   5.559499,  IDM,           34,        4,        4, , 1970-01-01T00:01:15Z,   161.0894
     76.00,    1,      185.5,    24.5433,   -0.09864,      63.05,   7.333914,  IDM,           34,        4,        4, , 1970-01-01T00:01:16Z,   185.5091
     80.00,    1,       12.5,    17.1884,    3.80759,     193.75,  12.328438,  IDM,           37,        4,        4, , 1970-01-01T00:01:20Z,    12.4645
     81.00,    1,       31.3,    20.3507,    2.60333,     180.59,  13.823976,  IDM,           37,        4,        4, , 1970-01-01T00:01:21Z,    31.3350
     82.00,    1,       52.8,    22.2953,    1.44724,     166.44,  14.313627,  IDM,           37,        4,        4, , 1970-01-01T00:01:22Z,    52.7526
     83.00,    1,       75.6,    23.2754,    0.65860,     152.21,  14.060766,  IDM,           37,        4,        4, , 1970-01-01T00:01:23Z,    75.6013
